"Player","pass_completion","KP","Min"
"Davide Calabria","86.5","1","316"
"Rui Modesto","74.5","14","608"
"Liam Henderson","72.9","33","2337"
"Geoffrey Kondogbia","92.5","5","2020"
"Mat?? Bero","67.9","54","2565"
"Chidera Ejuke","81.6","21","966"
"Javier Manquillo","89.8","0","515"
"Oliver Skipp","83.5","9","1129"
"Vincent Sierro","78.4","30","2402"
"Jakub Kami?ski","70.4","24","1130"
"Stole Dimitrievski","51.1","0","360"
"Andrea Cambiaso","88.5","34","2221"
"Morgan Gibbs-White","78.3","51","2803"
"Illia Zabarnyi","82.1","12","3109"
"Salih ?zcan","77.6","5","391"
"Armel Bella Kotchap","90.2","0","331"
"Harry Clarke","80.5","1","379"
"Federico Baschirotto","86.2","4","3420"
"Bence D?rdai","80.2","11","1304"
"Michy Batshuayi","80.3","1","300"
"Ludovic Ajorque","68.9","35","2495"
"Nemanja Mati?","86.9","17","2010"
"Musa Al-Taamari","77.3","12","1116"
"Ritsu Doan","71.8","27","2862"
"Lukas Ullrich","76.1","8","1903"
"Kyle Walker-Peters","88.2","24","2918"
"Michael Kayode","76.3","8","528"
"Pierre Cornud","81.9","3","576"
"Han-Noah Massengo","84.7","3","1046"
"Diego L?pez","72.1","38","2737"
"Logan Costa","87.7","4","2587"
"Conor Chaplin","73.7","8","857"
"Pietro Comuzzo","85.7","7","2110"
"Cucho","71.9","14","1139"
"Fabi?n Ruiz Pe?a","89.6","36","1923"
"Kobbie Mainoo","86.5","14","1651"
"Jordan Lefort","82.7","10","3060"
"Danilo Cataldi","84.5","15","1712"
"Brahim D?az","86.8","23","1385"
"Mikey Moore","69.8","3","366"
"Ignace Van Der Brempt","81.1","10","1257"
"Isma?l Bennacer","89.1","4","300"
"Ola Aina","73.5","16","2995"
"Kau? Santos","69.5","1","765"
"?ukasz Skorupski","78","0","2364"
"Diego","63","6","1195"
"James Ward-Prowse","88.2","20","1039"
"Jos? Luis Garc?a Vay?","78.4","32","1742"
"Tariq Lamptey","81.1","5","860"
"Grigoris Kastanos","69.3","12","872"
"George Ilenikhena","71.9","9","717"
"Tom?s Palacios","88.7","0","446"
"Matteo Ruggeri","84.2","24","1751"
"Tom?s Conechny","63.8","7","847"
"Toti Gomes","85.9","9","2614"
"James Bree","83.5","10","1075"
"Mohamed Salah","70.6","88","3371"
"Ernest Nuamah","79.9","18","1052"
"Milo? Veljkovi?","86.7","3","1029"
"Rui Silva","78.6","2","1350"
"Edoardo Bove","82","11","836"
"Felix Agu","79.7","20","1751"
"Tommaso Pobega","82.1","12","1178"
"Leon Bailey","71","16","1139"
"Omar Marmoush","79.2","15","1175"
"Tosin Adarabioyo","91.1","1","1409"
"Diego Llorente","86.7","6","2519"
"Michael Zetterer","78.2","0","3060"
"Welington","78","3","482"
"Moritz Nicolas","84.3","0","1639"
"Lasse Rosenboom","65.1","14","1734"
"Ethan Nwaneri","80.5","16","895"
"Badredine Bouanani","76.7","20","1099"
"Luka Su?i?","82.4","25","1792"
"Christian G?nter","74.5","28","2314"
"Dennis Geiger","87.3","11","734"
"Kristijan Jaki?","82.9","16","2306"
"Michail Antonio","60.6","9","836"
"Mohamed Amoura","70.3","35","2467"
"Lucas Paquet?","77.3","36","2380"
"Emmanuel Sabbi","71.1","4","653"
"Chris F?hrich","80.5","32","1981"
"Aritz Elustondo","85.4","4","1457"
"Abdoulaye Bamba","88.5","6","1510"
"Denis Su?rez","78.4","14","608"
"Fabian Rieder","70.6","12","867"
"Sergio Carreira","76.1","16","1656"
"Francesco Acerbi","92.5","9","1710"
"Jo?o Pedro","72.9","30","1948"
"Adrien Rabiot","84.8","28","2485"
"Nicolas Jackson","75.9","28","2220"
"Razvan Sava","70.1","0","1080"
"Florian Thauvin","66.4","39","1956"
"Marc Cucurella","87.7","19","2988"
"Jonathan Gradit","85.1","11","2112"
"Lorenz Assignon","78","29","2357"
"Devis V?squez","60.4","0","2880"
"Ivan Ordets","80","7","1861"
"Tom?? Suslov","73.2","27","2080"
"Chris Wood","64.3","22","2959"
"Modibo Sagnan","88.6","6","2141"
"Abdukodir Khusanov","88.1","2","975"
"Siebe Van Der Heyden","79.3","2","872"
"Mouctar Diakhaby","83.9","1","653"
"Kevin Danso","86.5","2","842"
"Marco Asensio","77.3","16","743"
"Rapha?l Guerreiro","88.7","27","1572"
"Eberechi Eze","74.2","58","2588"
"Adri Embarba","63.9","20","1607"
"Crysencio Summerville","76.4","17","786"
"Denis Zakaria","90.4","16","2144"
"Matteo Pessina","86.5","4","854"
"Nicol? Zaniolo","70.3","5","343"
"Arnau Martinez","86.4","18","2624"
"Franck Honorat","67.5","50","1439"
"Jay Idzes","86","8","3127"
"Kike Salas","78.5","6","2238"
"Rico Lewis","91.5","7","1893"
